token_id,split,speaker_id,utterance_id,token_index,lexical_target,predicted_tone,error_group,previous_lexical_tone,following_lexical_tone,context_status,sandhi_context,sandhi_interpretation,surface_label_status,surface_label_evidence,boundary_flag_status,boundary_flag_evidence,pitch_flag_status,pitch_flag_evidence,duration_seconds,voiced_proportion
00204528_07,train,02045,00204528,7,T3,T4,T3_to_T4,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204529_03,train,02045,00204529,3,T3,T4,T3_to_T4,T4,T1,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204529_08,train,02045,00204529,8,T3,T3,T3_correct,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204608_04,train,02046,00204608,4,T3,T3,T3_correct,,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204611_08,train,02046,00204611,8,T3,T3,T3_correct,T4,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204626_08,train,02046,00204626,8,T3,T2,T3_to_T2,T1,T3,available,T3_plus_T3,possible_surface_T2_not_gold_override,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204626_09,train,02046,00204626,9,T3,T3,T3_correct,T3,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204628_04,train,02046,00204628,4,T3,T1,T3_to_T1,T2,T4,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204628_07,train,02046,00204628,7,T3,T2,T3_to_T2,,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
00204629_08,train,02046,00204629,8,T3,T3,T3_correct,T2,,available,not_observed,not_applicable,needs_data_no_surface_label,,needs_data_no_boundary_fields,,needs_data_no_pitch_flags,,,
